,Away,Away_Spread,Away_Payout,Home,Home_Spread,Home_Payout,Date
0,New Orleans Saints,-13.0,-105.0,Carolina Panthers,13.0,-105.0,2019-12-29
1,Chicago Bears,1.5,-107.0,Minnesota Vikings,-1.5,-103.0,2019-12-29
2,Atlanta Falcons,1.0,-103.0,Tampa Bay Buccaneers,-1.0,-107.0,2019-12-29
3,Miami Dolphins,16.0,-105.0,New England Patriots,-16.0,-105.0,2019-12-29
4,Green Bay Packers,-12.5,-105.0,Detroit Lions,12.5,-105.0,2019-12-29
5,Cleveland Browns,-2.5,-120.0,Cincinnati Bengals,2.5,110.0,2019-12-29
6,Los Angeles Chargers,8.5,-105.0,Kansas City Chiefs,-8.5,-105.0,2019-12-29
7,New York Jets,1.5,-105.0,Buffalo Bills,-1.5,-105.0,2019-12-29
8,Pittsburgh Steelers,-2.0,-105.0,Baltimore Ravens,2.0,-105.0,2019-12-29
9,Oakland Raiders,3.0,110.0,Denver Broncos,-3.0,-120.0,2019-12-29
10,Tennessee Titans,-3.5,100.0,Houston Texans,3.5,-110.0,2019-12-29
11,Washington Redskins,11.0,-108.0,Dallas Cowboys,-11.0,-102.0,2019-12-29
12,Indianapolis Colts,-4.0,-105.0,Jacksonville Jaguars,4.0,-105.0,2019-12-29
13,Philadelphia Eagles,-4.5,-105.0,New York Giants,4.5,-105.0,2019-12-29
14,San Francisco 49Ers,-3.5,100.0,Seattle Seahawks,3.5,-110.0,2019-12-29
